managerEmail,teamName,playerName,purchasePrice
rohit@fal.test,Rohits Rockets,Madhav Tiwari,8.0
rohit@fal.test,Rohits Rockets,Mohammed Siraj,13.4
rohit@fal.test,Rohits Rockets,Noor Ahmad,18.2
rohit@fal.test,Rohits Rockets,Pathum Nissanka,13.6
rohit@fal.test,Rohits Rockets,Quinton de Kock,16.2
rohit@fal.test,Rohits Rockets,Rovman Powell,14.0
rohit@fal.test,Rohits Rockets,Shardul Thakur,14.0
rohit@fal.test,Rohits Rockets,Shashank Singh,9.9
rohit@fal.test,Rohits Rockets,Shreyas Iyer,7.0
rohit@fal.test,Rohits Rockets,Tom Banton,19.7
rohit@fal.test,Rohits Rockets,Trent Boult,9.9
rohit@fal.test,Rohits Rockets,Tushar Deshpande,11.8
rohit@fal.test,Rohits Rockets,Zeeshan Ansari,15.0
sara@fal.test,Saras Stars,Amit Kumar,11.4
sara@fal.test,Saras Stars,Anrich Nortje,17.1
sara@fal.test,Saras Stars,Anshul Kamboj,12.7
sara@fal.test,Saras Stars,Arjun Tendulkar,12.1
sara@fal.test,Saras Stars,Ashok Sharma,14.0
sara@fal.test,Saras Stars,Kyle Jamieson,11.2
sara@fal.test,Saras Stars,Lungi Ngidi,7.5
sara@fal.test,Saras Stars,Mohsin Khan,5.6
sara@fal.test,Saras Stars,Prabhsimran Singh,8.2
sara@fal.test,Saras Stars,Rishabh Pant,8.0
sara@fal.test,Saras Stars,Sam Curran,8.3
sara@fal.test,Saras Stars,Sarfaraz Khan,7.8
sara@fal.test,Saras Stars,Swapnil Singh,14.9
sara@fal.test,Saras Stars,Tim Seifert,5.8
sara@fal.test,Saras Stars,Vishnu Vinod,11.8
shaheel@fal.test,Shaheels Strikers,Anukul Roy,11.0
shaheel@fal.test,Shaheels Strikers,Dhruv Jurel,9.3
shaheel@fal.test,Shaheels Strikers,Eshan Malinga,10.0
shaheel@fal.test,Shaheels Strikers,Jasprit Bumrah,11.2
shaheel@fal.test,Shaheels Strikers,Jitesh Sharma,7.7
shaheel@fal.test,Shaheels Strikers,Kuldeep Sen,15.8
shaheel@fal.test,Shaheels Strikers,Mangesh Yadav,12.6
shaheel@fal.test,Shaheels Strikers,Manimaran Siddharth,12.0
shaheel@fal.test,Shaheels Strikers,Ravi Bishnoi,14.7
shaheel@fal.test,Shaheels Strikers,Sameer Rizvi,8.3
shaheel@fal.test,Shaheels Strikers,Shahrukh Khan,6.4
shaheel@fal.test,Shaheels Strikers,Suryansh Shedge,17.4
shaheel@fal.test,Shaheels Strikers,Tripurana Vijay,5.9
shaheel@fal.test,Shaheels Strikers,Tristan Stubbs,8.7
shaheel@fal.test,Shaheels Strikers,Vaibhav Arora,13.8
viiveek@fal.test,Viiveeks XI,Brydon Carse,13.8
viiveek@fal.test,Viiveeks XI,Gurnoor Brar,6.0
viiveek@fal.test,Viiveeks XI,Jason Holder,12.8
viiveek@fal.test,Viiveeks XI,Lokesh Rahul,6.1
viiveek@fal.test,Viiveeks XI,Luke Wood,15.6
viiveek@fal.test,Viiveeks XI,Matt Henry,9.5
viiveek@fal.test,Viiveeks XI,Matthew Breetzke,19.0
viiveek@fal.test,Viiveeks XI,Matthew Short,9.0
viiveek@fal.test,Viiveeks XI,Mukesh Choudhary,6.9
viiveek@fal.test,Viiveeks XI,Raj Angad Bawa,19.0
viiveek@fal.test,Viiveeks XI,Rohit Sharma,9.2
viiveek@fal.test,Viiveeks XI,Ryan Rickelton,15.8
viiveek@fal.test,Viiveeks XI,Sherfane Rutherford,19.3
viiveek@fal.test,Viiveeks XI,Tejasvi Dahiya,14.0
viiveek@fal.test,Viiveeks XI,Vaibhav Suryavanshi,19.5
